soma_joinid	citation	collection_id	collection_name	collection_doi	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
403	Publication: https://doi.org/10.1016/j.jhep.2023.12.023 Dataset Version: https://datasets.cellxgene.cziscience.com/58550dc7-15a6-4744-92a5-93c4081691e1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver	10.1016/j.jhep.2023.12.023	234c23d0-d6cd-4612-a40d-e5811727564b	58550dc7-15a6-4744-92a5-93c4081691e1	Hepatocyte-1 cells from human healthy donor liver samples	234c23d0-d6cd-4612-a40d-e5811727564b.h5ad	53015
404	Publication: https://doi.org/10.1038/s41586-022-04518-2 Dataset Version: https://datasets.cellxgene.cziscience.com/8574b8e2-c54d-4723-a618-0a4dc767384b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fe0e718d-2ee9-42cc-894b-0b490f437dfd	fe0e718d-2ee9-42cc-894b-0b490f437dfd	A single-cell atlas of human and mouse white adipose tissue	10.1038/s41586-022-04518-2	b3be4624-0723-4f1d-846c-d31025da3718	8574b8e2-c54d-4723-a618-0a4dc767384b	A Single-Cell Atlas of Human White Adipose Tissue - Human ASPCs	b3be4624-0723-4f1d-846c-d31025da3718.h5ad	52482
405	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/1b19ecb3-0320-4525-8eaf-bf16542e772a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	a7ace090-1ba1-47f2-8def-6e11298b7816	1b19ecb3-0320-4525-8eaf-bf16542e772a	Limb muscle - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x	a7ace090-1ba1-47f2-8def-6e11298b7816.h5ad	28867
406	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/979f7e56-4d5c-4a1a-92ed-bad8903863d0.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	ed33c203-233a-476a-a56b-28da945fdd32	979f7e56-4d5c-4a1a-92ed-bad8903863d0	Dissection: Cerebral cortex (Cx) - Cuneus, caudal part - Peristriate Cortex - V2	ed33c203-233a-476a-a56b-28da945fdd32.h5ad	32638
407	Publication: https://doi.org/10.1016/j.celrep.2018.09.006 Dataset Version: https://datasets.cellxgene.cziscience.com/6811c9c6-f7ae-43ac-bf4d-e94b08f020cd.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/43d4bb39-21af-4d05-b973-4c1fed7b916c	43d4bb39-21af-4d05-b973-4c1fed7b916c	Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution	10.1016/j.celrep.2018.09.006	f512b8b6-369d-4a85-a695-116e0806857f	6811c9c6-f7ae-43ac-bf4d-e94b08f020cd	Skin	f512b8b6-369d-4a85-a695-116e0806857f.h5ad	68036
408	Dataset Version: https://datasets.cellxgene.cziscience.com/64cb5e87-ba99-4180-8114-252a653394c5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/cae8bad0-39e9-4771-85a7-822b0e06de9f	cae8bad0-39e9-4771-85a7-822b0e06de9f	Protracted Neuronal Recruitment in the Temporal Lobe of Young Children		72822932-10f6-466f-baf3-a2c1d89364bc	64cb5e87-ba99-4180-8114-252a653394c5	Interneuron maturation in the human entorhinal cortex	72822932-10f6-466f-baf3-a2c1d89364bc.h5ad	20470
409	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/6563d292-1caa-4bc8-a9fe-896559cf491a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	9ec34295-ab16-47e2-af33-b884143e520b	6563d292-1caa-4bc8-a9fe-896559cf491a	Dissection: Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN	9ec34295-ab16-47e2-af33-b884143e520b.h5ad	49110
410	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/a2ee061b-11cb-434b-aeee-c90167187cb3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	70e4f35b-c98c-45a1-9aa9-2053b07315dd	a2ee061b-11cb-434b-aeee-c90167187cb3	Dissection: Basal forebrain (BF) - septal nuclei - SEP	70e4f35b-c98c-45a1-9aa9-2053b07315dd.h5ad	40815
411	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/aa9c60a4-dd37-47ef-a7ac-d141b26ae160.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	5bc23cb2-8cfc-4960-bab1-c3027fbeefc4	aa9c60a4-dd37-47ef-a7ac-d141b26ae160	Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma) - mammillary nucleus - MN	5bc23cb2-8cfc-4960-bab1-c3027fbeefc4.h5ad	28155
412	Publication: https://doi.org/10.1038/s41586-023-06252-9 Dataset Version: https://datasets.cellxgene.cziscience.com/071c5094-dd60-424c-a340-56a038871ac9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	4195ab4c-20bd-4cd3-8b3d-65601277e731	A spatially resolved single cell genomic atlas of the adult human breast	10.1038/s41586-023-06252-9	c8d40d53-387b-48f2-9f89-72bfdb9c7c9f	071c5094-dd60-424c-a340-56a038871ac9	scRNA-seq data - perivascular cells	c8d40d53-387b-48f2-9f89-72bfdb9c7c9f.h5ad	52638
413	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/1e0b7e34-406f-42f3-aad7-fe18d783c050.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	88a01d4a-5197-45be-b5ae-e019aef43376	1e0b7e34-406f-42f3-aad7-fe18d783c050	Dissection: Cerebral cortex (Cx) - Superior Temporal Gyrus - STG	88a01d4a-5197-45be-b5ae-e019aef43376.h5ad	40565
414	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/5cbc4d64-17aa-4cba-aa66-62af1317a861.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	e8681d74-ac9e-4be5-be14-1cf1bbd54dd7	5cbc4d64-17aa-4cba-aa66-62af1317a861	Dissection: Thalamus (THM) - Anterior nuclear complex - ANC	e8681d74-ac9e-4be5-be14-1cf1bbd54dd7.h5ad	31307
415	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/5e5db76a-4390-41af-951c-ce4e01d08ad4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	fe1a73ab-a203-45fd-84e9-0f7fd19efcbd	5e5db76a-4390-41af-951c-ce4e01d08ad4	Dissection: Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL	fe1a73ab-a203-45fd-84e9-0f7fd19efcbd.h5ad	35285
416	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/a3fa88de-cbbe-404c-8dbc-06e38b542602.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	f502c312-05dc-4fd4-a762-92a63e92b539	a3fa88de-cbbe-404c-8dbc-06e38b542602	Dissection: Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON	f502c312-05dc-4fd4-a762-92a63e92b539.h5ad	31230
417	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/697a2396-e6ca-42e4-b177-4ee2a8f871d4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	1b767f95-d0a0-4a3d-b394-cc665d86c3dc	697a2396-e6ca-42e4-b177-4ee2a8f871d4	Dissection: Extended amygdala (EXA) - Bed nucleus of stria terminalis and nearby - BNST	1b767f95-d0a0-4a3d-b394-cc665d86c3dc.h5ad	34933
418	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/c99115a3-0178-4082-a5a8-6321762b8ada.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	19b21f40-db42-4a71-a0d6-913e83b17784	c99115a3-0178-4082-a5a8-6321762b8ada	Dissection: Head of hippocampus (HiH) - Tail of Hippocampus (HiT) - Subicular cortex - Sub	19b21f40-db42-4a71-a0d6-913e83b17784.h5ad	41568
419	Publication: https://doi.org/10.1101/2020.11.20.20227355 Dataset Version: https://datasets.cellxgene.cziscience.com/cd0bb8f2-087d-4c1b-a037-8f14551693a3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa	0434a9d4-85fd-4554-b8e3-cf6c582bb2fa	Acute COVID-19 cohort across a range of WHO categories seen at the Department of Emergency Medicine at MGH	10.1101/2020.11.20.20227355	fa8605cf-f27e-44af-ac2a-476bee4410d3	cd0bb8f2-087d-4c1b-a037-8f14551693a3	PBMCs	fa8605cf-f27e-44af-ac2a-476bee4410d3.h5ad	59506
420	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/554a7652-47d9-475c-9ecb-97a1a3b6aa4c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	3f56901c-dd4a-47d6-b60b-7b0c0111cfb2	554a7652-47d9-475c-9ecb-97a1a3b6aa4c	Dissection: Head of hippocampus (HiH) - Uncal CA1-CA3	3f56901c-dd4a-47d6-b60b-7b0c0111cfb2.h5ad	37911
421	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/60a64348-e3ab-4ed3-92ed-bc247c4bd7ab.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	18500fcd-9960-49cb-8a8e-7d868dc14efe	60a64348-e3ab-4ed3-92ed-bc247c4bd7ab	Dissection: Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe	18500fcd-9960-49cb-8a8e-7d868dc14efe.h5ad	50830
422	Publication: https://doi.org/10.1038/s41586-022-04518-2 Dataset Version: https://datasets.cellxgene.cziscience.com/8e30fee3-1915-47e1-850c-e04b5447dcf6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fe0e718d-2ee9-42cc-894b-0b490f437dfd	fe0e718d-2ee9-42cc-894b-0b490f437dfd	A single-cell atlas of human and mouse white adipose tissue	10.1038/s41586-022-04518-2	138423b0-4fde-47d2-acac-c2de8082a152	8e30fee3-1915-47e1-850c-e04b5447dcf6	A Single-Cell Atlas of Mouse White Adipose Tissue - Mouse immune cells	138423b0-4fde-47d2-acac-c2de8082a152.h5ad	70547
423	Publication: https://doi.org/10.1016/j.xgen.2023.100298 Dataset Version: https://datasets.cellxgene.cziscience.com/73152955-d99f-4a88-943e-e0da626e2d69.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7	af893e86-8e9f-41f1-a474-ef05359b1fb7	Single-cell transcriptomic atlas for adult human retina	10.1016/j.xgen.2023.100298	11ef37ee-2173-458e-aab8-7fe35da8e47b	73152955-d99f-4a88-943e-e0da626e2d69	Horizontal cells in human retina	11ef37ee-2173-458e-aab8-7fe35da8e47b.h5ad	7348
424	Publication: https://doi.org/10.1002/pros.24020 Dataset Version: https://datasets.cellxgene.cziscience.com/4544545a-6d9e-439b-b0b4-ba1ed3cb65ed.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fbc5881f-1ee3-4ffe-8095-35e15e1a08fc	fbc5881f-1ee3-4ffe-8095-35e15e1a08fc	Urethral luminal epithelia are castration-insensitive cells of the proximal prostate	10.1002/pros.24020	2aef80da-acb4-4e15-8f7d-6c0322b86b2f	4544545a-6d9e-439b-b0b4-ba1ed3cb65ed	Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Mouse Cells	2aef80da-acb4-4e15-8f7d-6c0322b86b2f.h5ad	47435
425	Publication: https://doi.org/10.1126/science.abl4896 Dataset Version: https://datasets.cellxgene.cziscience.com/19cbcfdd-864f-43d8-a2cd-f6fa12f9faf4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5	e5f58829-1a66-40b5-a624-9046778e74f5	Tabula Sapiens	10.1126/science.abl4896	55cf0ea3-9d2b-4294-871e-bb4b49a79fc7	19cbcfdd-864f-43d8-a2cd-f6fa12f9faf4	Tabula Sapiens - Tongue	55cf0ea3-9d2b-4294-871e-bb4b49a79fc7.h5ad	15020
426	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/16fa561d-827b-40ab-8945-e611a5e525bb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	40318d39-3d8f-49f4-8455-a2e1365c5c5b	16fa561d-827b-40ab-8945-e611a5e525bb	Dissection: Basal nuclei (BN) - Nucleus Accumbens - NAC	40318d39-3d8f-49f4-8455-a2e1365c5c5b.h5ad	30132
427	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/4b23f55a-02ce-47a5-a594-a0354b26dd1b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	489eaa11-c119-4a5f-b44b-81e33c80c0ef	4b23f55a-02ce-47a5-a594-a0354b26dd1b	Dissection: Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C	489eaa11-c119-4a5f-b44b-81e33c80c0ef.h5ad	32790
428	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/ddc3915a-5db0-4df1-b685-651c45686027.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	7c1c3d47-3166-43e5-9a95-65ceb2d45f78	ddc3915a-5db0-4df1-b685-651c45686027	Dissection: Pons (Pn) - Pontine reticular formation - PnRF	7c1c3d47-3166-43e5-9a95-65ceb2d45f78.h5ad	49512
429	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/cb191a41-8302-44f1-a2bd-3a7698ff93ca.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	4593c820-512d-4805-a10f-c0b864a7cc8c	cb191a41-8302-44f1-a2bd-3a7698ff93ca	Dissection: Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basomedial nucleus (accessory basal nucleus) - BM	4593c820-512d-4805-a10f-c0b864a7cc8c.h5ad	31090
430	Publication: https://doi.org/10.1073/pnas.2200914119 Dataset Version: https://datasets.cellxgene.cziscience.com/b537ca8e-753a-4b2f-9414-60e2f2e2596d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/63d03351-06be-478e-a0db-f7a653b6b19b	63d03351-06be-478e-a0db-f7a653b6b19b	Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types	10.1073/pnas.2200914119	1196334f-a441-474a-95ee-400780941690	b537ca8e-753a-4b2f-9414-60e2f2e2596d	Ciliary Body	1196334f-a441-474a-95ee-400780941690.h5ad	34132
431	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/b1b18f3f-1a73-4fb8-8544-677898184c67.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	715327a6-7978-4896-ba91-69d6b04dbbfb	b1b18f3f-1a73-4fb8-8544-677898184c67	Dissection: Body of hippocampus (HiB) - Rostral DG-CA4	715327a6-7978-4896-ba91-69d6b04dbbfb.h5ad	40191
432	Publication: https://doi.org/10.1038/s41467-022-32972-z Dataset Version: https://datasets.cellxgene.cziscience.com/0206ea52-4932-4c71-87ed-58d00ffffd49.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b	b3e2c6e3-9b05-4da9-8f42-da38a664b45b	Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression	10.1038/s41467-022-32972-z	e067e5ca-e53e-485f-aa8e-efd5435229c8	0206ea52-4932-4c71-87ed-58d00ffffd49	Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease	e067e5ca-e53e-485f-aa8e-efd5435229c8.h5ad	39176
433	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/5efabd9e-67da-4385-97de-92346fbb4f08.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	900fdf13-150d-4695-9f8c-4c09105ba2eb	5efabd9e-67da-4385-97de-92346fbb4f08	Dissection: Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN	900fdf13-150d-4695-9f8c-4c09105ba2eb.h5ad	47416
434	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/5d929ac8-697d-4927-a203-167e4557e088.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	52f18bc3-52d9-487b-bf8f-f0b7aa684b09	5d929ac8-697d-4927-a203-167e4557e088	Dissection: Midbrain (M) - Substantia Nigra - SN	52f18bc3-52d9-487b-bf8f-f0b7aa684b09.h5ad	59505
435	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/ed6754f8-2a41-475f-a6df-f1a3ed48f353.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	d582f63a-3c88-4e38-8cd3-8682dbe40f64	ed6754f8-2a41-475f-a6df-f1a3ed48f353	Dissection: Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13	d582f63a-3c88-4e38-8cd3-8682dbe40f64.h5ad	34919
436	Publication: https://doi.org/10.1016/j.molmet.2022.101595 Dataset Version: https://datasets.cellxgene.cziscience.com/75852754-2d3d-4126-97fb-4514bb5fdebc.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e	0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e	A transcriptional cross species map of pancreatic islet cells	10.1016/j.molmet.2022.101595	78f10833-3e61-4fad-96c9-4bbd4f14bdfa	75852754-2d3d-4126-97fb-4514bb5fdebc	Cross species map of pancreatic alpha cells	78f10833-3e61-4fad-96c9-4bbd4f14bdfa.h5ad	11541
437	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/12065530-d3b7-44bb-94c7-4e6b4f9d45ed.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	acae7679-d077-461c-b857-ee6ccfeb267f	12065530-d3b7-44bb-94c7-4e6b4f9d45ed	Dissection: Head of hippocampus (HiH) - Uncal CA1	acae7679-d077-461c-b857-ee6ccfeb267f.h5ad	39147
438	Publication: https://doi.org/10.1016/j.ccell.2021.09.008 Dataset Version: https://datasets.cellxgene.cziscience.com/4cda4640-5264-4a82-be44-d2b5550eec4b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec	62e8f058-9c37-48bc-9200-e767f318a8ec	HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer	10.1016/j.ccell.2021.09.008	d4cfefa0-3a35-44eb-b848-d7a725b481e7	4cda4640-5264-4a82-be44-d2b5550eec4b	NSCLC epithelial cells	d4cfefa0-3a35-44eb-b848-d7a725b481e7.h5ad	9778
439	Publication: https://doi.org/10.1002/ctm2.1356 Dataset Version: https://datasets.cellxgene.cziscience.com/28bef71a-e143-44e6-aebd-754c8bd90fea.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/7dd599c5-d25d-40c0-b1a6-8789791ca808	7dd599c5-d25d-40c0-b1a6-8789791ca808	The cellular landscape of breast cancer associated malignant pleural effusions	10.1002/ctm2.1356	e500acbf-f166-4c46-b290-f93506cf26d3	28bef71a-e143-44e6-aebd-754c8bd90fea	Figure 3	e500acbf-f166-4c46-b290-f93506cf26d3.h5ad	37428
440	Publication: https://doi.org/10.1038/s41586-020-2496-1 Dataset Version: https://datasets.cellxgene.cziscience.com/244cc163-0376-4d58-aa96-7e61cb2fc9f4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb	0b9d8a04-bb9d-44da-aa27-705bb65b54eb	Tabula Muris Senis	10.1038/s41586-020-2496-1	e2b469d4-b5c3-4a35-9d19-ee71ce61cae0	244cc163-0376-4d58-aa96-7e61cb2fc9f4	Spleen - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - 10x	e2b469d4-b5c3-4a35-9d19-ee71ce61cae0.h5ad	35718
441	Publication: https://doi.org/10.1186/s13059-019-1906-x Dataset Version: https://datasets.cellxgene.cziscience.com/cab31bd4-af28-4e3f-bee3-58018b40a879.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/4d74781b-8186-4c9a-b659-ff4dc4601d91	4d74781b-8186-4c9a-b659-ff4dc4601d91	scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation	10.1186/s13059-019-1906-x	2672b679-8048-4f5e-9786-f1b196ccfd08	cab31bd4-af28-4e3f-bee3-58018b40a879	Lung Parenchyma	2672b679-8048-4f5e-9786-f1b196ccfd08.h5ad	57019
442	Publication: https://doi.org/10.1038/s44161-022-00183-w Dataset Version: https://datasets.cellxgene.cziscience.com/8ccb3314-b03f-435e-92aa-19d12289c02d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/43b45a20-a969-49ac-a8e8-8c84b211bd01	43b45a20-a969-49ac-a8e8-8c84b211bd01	Integrated adult and foetal heart single-cell RNA sequencing	10.1038/s44161-022-00183-w	5500c673-1610-40a0-86d9-64d987ae50e6	8ccb3314-b03f-435e-92aa-19d12289c02d	Integrated adult and foetal hearts	5500c673-1610-40a0-86d9-64d987ae50e6.h5ad	60668
443	Publication: https://doi.org/10.1126/science.add7046 Dataset Version: https://datasets.cellxgene.cziscience.com/29e0b90a-fd4e-4546-99fe-4c4f6a09d511.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/283d65eb-dd53-496d-adb7-7570c7caa443	283d65eb-dd53-496d-adb7-7570c7caa443	Human Brain Cell Atlas v1.0	10.1126/science.add7046	4976b234-9028-4b4b-8a2f-8ac59d636219	29e0b90a-fd4e-4546-99fe-4c4f6a09d511	Dissection: Cerebellum (CB) - Cerebellar Vermis - CBV	4976b234-9028-4b4b-8a2f-8ac59d636219.h5ad	71874
